"STATION","DATE","ADPT","ASLP","ASTP","AWBT","AWND","RHAV","SNWD","TAVG","WDF2","WT02","WT05","WT18"
"USW00013880","2024-02-06","27","29.91","29.83","41","15.21","   42","0.0",,"  360",,,
"USW00013880","2024-02-07","26","30.23","30.14","38","8.95","   49","0.0",,"   30",,,
"USW00013880","2024-02-08","35","30.30","30.26","41","3.80","   64","0.0",,"  100",,,
"USW00013880","2024-02-09","47","30.20","30.16","51","5.14","   71","0.0",,"  200",,,
"USW00013880","2024-02-10","53","30.09","30.06","57","7.61","   73","0.0",,"  200",,,
"USW00013880","2024-02-11","57","29.96","29.91","60","7.83","   76","0.0",,"  230",,,
"USW00013880","2024-02-12","60","29.80","29.80","61","6.93","   93","0.0",,"  220",,,
"USW00013880","2024-02-13","40","29.84","29.73","50","12.97","   52","0.0",,"  250",,,
"USW00013880","2024-02-14","33","30.20","30.13","44","4.47","   52","0.0",,"  180",,,
"USW00013880","2024-02-15","44","30.19","30.15","50","6.71","   66","0.0",,"  220",,,
"USW00013880","2024-02-16","45","29.99","29.97","52","5.59","   58","0.0",,"  170",,,
"USW00013880","2024-02-17","45","29.88","29.82","52","10.07","   59","0.0",,"  260",,,
"USW00013880","2024-02-18","27","30.06","30.00","38","6.04","   47","0.0",,"   20",,,
"USW00013880","2024-02-19","29","30.13","30.06","40","4.03","   55","0.0",,"   10",,,
"USW00013880","2024-02-20","31","30.27","30.21","41","6.04","   57","0.0",,"   10",,,
"USW00013880","2024-02-21","32","30.28","30.23","42","7.16","   53","0.0",,"  330",,,
"USW00013880","2024-02-22","38","30.05","30.03","46","7.16","   59","0.0",,"  170",,,
"USW00013880","2024-02-23","50","29.67","29.62","55","12.30","   67","0.0",,"  350",,,
"USW00013880","2024-02-24","34","29.83","29.74","47","9.84","   43","0.0",,"  280",,,
"USW00013880","2024-02-25","31","30.16","30.09","41","6.49","   53","0.0",,"   20",,,
"USW00013880","2024-02-26","38","30.18","30.14","46","5.82","   60","0.0",,"  170",,,
"USW00013880","2024-02-27","49","30.09","30.04","55","11.41","   64","0.0",,"  200",,,
"USW00013880","2024-02-28","54","30.04","29.98","60","13.87","   63","0.0",,"  200",,,
"USW00013880","2024-02-29","24","30.36","30.28","42","11.41","   30","0.0",,"   10",,,
"USW00013880","2024-03-01","51","30.30","30.27","55","10.07","   78","0.0",,"  140",,,
"USW00013880","2024-03-02","61","30.13","30.09","63","3.80","   85","0.0",,"  200",,,
"USW00013880","2024-03-03","60","30.14","30.09","62","4.70","   81","0.0",,"   90",,,
"USW00013880","2024-03-04","56","30.12","30.07","61","5.59","   72","0.0",,"  290",,,
"USW00013880","2024-03-05","54","30.06","30.03","59","6.04","   69","0.0",,"  110",,,
"USW00013880","2024-03-06","61","29.78","29.75","64","9.17","   80","0.0",,"  190",,,
"USW00013880","2024-03-07","55","29.94","29.86","59","7.16","   75","0.0",,"  160",,,
"USW00013880","2024-03-08","53","30.09","30.05","57","8.95","   75","0.0",,"  100",,,
"USW00013880","2024-03-09","65","29.81","29.79","66","13.42","   87","0.0",,"  180",,,
"USW00013880","2024-03-10","39","29.87","29.78","51","13.20","   45","0.0",,"  280",,,
"USW00013880","2024-03-11","25","30.18","30.14","42","6.93","   36","0.0",,"  330",,,
"USW00013880","2024-03-12","40","30.12","30.09","50","6.93","   54","0.0",,"  190",,,
"USW00013880","2024-03-13","44","30.03","29.98","54","6.93","   53","0.0",,"  200",,,
"USW00013880","2024-03-14","45","30.10","30.04","55","5.82","   50","0.0",,"  150",,,
"USW00013880","2024-03-15","56","30.00","29.96","61","6.93","   65","0.0",,"  330",,,
"USW00013880","2024-03-16","59","29.87","29.82","64","8.05","   68","0.0",,"  190",,,
"USW00013880","2024-03-17","54","29.81","29.77","60","9.62","   63","0.0",,"  250",,,
"USW00013880","2024-03-18","44","29.82","29.76","54","11.41","   50","0.0",,"  320",,,
"USW00013880","2024-03-19","25","30.05","29.99","41","10.07","   39","0.0",,"  320",,,
"USW00013880","2024-03-20","36","29.98","29.93","48","9.62","   43","0.0",,"  260",,,
"USW00013880","2024-03-21","44","30.10","30.03","53","8.72","   52","0.0",,"  100",,,
"USW00013880","2024-03-22","59","30.01","30.00","61","9.62","   84","0.0",,"  140",,,
"USW00013880","2024-03-23","58","29.72","29.67","62","9.84","   73","0.0",,"  340",,,
"USW00013880","2024-03-24","34","30.08","30.03","45","11.41","   49","0.0",,"   10",,,
"USW00013880","2024-03-25","42","30.19","30.16","49","10.29","   62","0.0",,"   90",,,
"USW00013880","2024-03-26","55","30.03","30.00","59","10.74","   69","0.0",,"  110",,,
"USW00013880","2024-03-27","64","29.93","29.88","66","9.40","   83","0.0",,"  160",,,
"USW00013880","2024-03-28","54","29.91","29.84","57","10.29","   79","0.0",,"  350",,,
"USW00013880","2024-03-29","38","30.14","30.06","49","6.93","   52","0.0",,"  220",,,
"USW00013880","2024-03-30","43","30.07","30.02","53","9.17","   52","0.0",,"  180",,,
"USW00013880","2024-03-31","50","30.02","29.97","58","8.72","   55","0.0",,"  190",,,
"USW00013880","2024-04-01","59","30.00","29.96","63","10.51","   68","0.0",,"  260",,,
"USW00013880","2024-04-02","61","29.85","29.80","65","10.96","   71","0.0",,"  190",,,
"USW00013880","2024-04-03","62","29.55","29.51","64","14.09","   82","0.0",,"  210","    1",,
"USW00013880","2024-04-04","36","29.71","29.64","48","10.29","   46","0.0",,"  260",,,
"USW00013880","2024-04-05","37","29.90","29.84","48","7.83","   48","0.0",,"  260",,,
"USW00013880","2024-04-06","32","30.05","29.98","45","8.28","   46","0.0",,"  340",,,
"USW00013880","2024-04-07","41","30.13","30.06","50","5.37","   57","0.0",,"  140",,,
"USW00013880","2024-04-08","48","30.22","30.16","55","5.14","   61","0.0",,"  160",,,
"USW00013880","2024-04-09","56","30.17","30.12","60","6.04","   69","0.0",,"  180",,,
"USW00013880","2024-04-10","60","30.04","30.00","65","11.18","   69","0.0",,"  140",,,
"USW00013880","2024-04-11","65","29.72","29.70","67","17.00","   82","0.0",,"  130",,,
"USW00013880","2024-04-12","42","29.90","29.80","54","16.33","   41","0.0",,"  260",,,
"USW00013880","2024-04-13","37","30.13","30.08","51","8.05","   39","0.0",,"  280",,,
"USW00013880","2024-04-14","43","30.10","30.05","55","6.04","   45","0.0",,"  200",,,
"USW00013880","2024-04-15","54","30.04","29.98","62","10.07","   50","0.0",,"  200",,,
"USW00013880","2024-04-16","56","30.12","30.06","63","7.38","   58","0.0",,"  200",,,
"USW00013880","2024-04-17","62","30.13","30.09","65","8.72","   73","0.0",,"  200",,,
"USW00013880","2024-04-18","63","30.04","29.98","68","6.04","   65","0.0",,"  210",,,
"USW00013880","2024-04-19","63","29.99","29.93","67","5.82","   68","0.0",,"  200",,,
"USW00013880","2024-04-20","66","29.95","29.91","71","8.05","   66","0.0",,"  210",,,
"USW00013880","2024-04-21","60","29.90","29.85","62","8.95","   82","0.0",,"   20",,,
"USW00013880","2024-04-22","43","30.09","30.01","50","9.62","   60","0.0",,"   10",,,
"USW00013880","2024-04-23","41","30.19","30.15","49","5.59","   57","0.0",,"  170",,,
"USW00013880","2024-04-24","52",,,"58","8.95","   62","0.0",,"  190",,,
"USW00013880","2024-04-25","56","30.10","30.04","62","6.71","   62","0.0",,"  140",,,
"USW00013880","2024-04-26","59","30.24","30.17","63","9.17","   71","0.0",,"  120",,,
"USW00013880","2024-04-27","59","30.34","30.29","63","10.74","   70","0.0",,"  110",,,
"USW00013880","2024-04-28","57","30.27","30.22","62","6.71","   67","0.0",,"  160",,,
"USW00013880","2024-04-29","58","30.14","30.10","63","6.49","   67","0.0",,"  170",,,
"USW00013880","2024-04-30",,,,,"7.16","   67","0.0",,"  170",,,
"USW00013880","2024-05-01","65","29.97","29.92","68","5.37","   77","0.0",,"  150",,,
"USW00013880","2024-05-02","65","30.00","29.95","68","4.92","   75","0.0",,"  130","    1",,
"USW00013880","2024-05-03","66","30.02","29.96","69","5.82","   73","0.0",,"  140","    1",,
"USW00013880","2024-05-04","67","30.05","29.99","70","7.38","   75","0.0",,"  170",,,
"USW00013880","2024-05-05","67","30.06","30.01","70","8.05","   74","0.0",,"  180",,,
"USW00013880","2024-05-06","67","30.02","29.98","70","7.61","   80","0.0",,"  260",,,
"USW00013880","2024-05-07","68","29.88","29.83","71","7.61","   73","0.0",,"  200",,,
"USW00013880","2024-05-08","69","29.85","29.80","73","9.62","   70","0.0",,"  200",,,
"USW00013880","2024-05-09","68","29.82","29.77","70","9.17","   81","0.0",,"  310",,,
"USW00013880","2024-05-10","64","29.72","29.67","67","8.72","   77","0.0",,"  250",,,
"USW00013880","2024-05-11","52","29.86","29.80","59","6.49","   57","0.0",,"  300",,,
"USW00013880","2024-05-12","55","29.93","29.87","62","5.14","   56","0.0",,"  310",,,
"USW00013880","2024-05-13","61","30.01","29.96","65","6.71","   69","0.0",,"  130",,,
"USW00013880","2024-05-14","69","29.83","29.80","71","10.51","   82","0.0",,"  160",,,
"USW00013880","2024-05-15","68","29.72","29.67","71","10.29","   73","0.0",,"  290",,,
"USW00013880","2024-05-16","64","29.79","29.72","69","5.82","   67","0.0",,"  320",,,
"USW00013880","2024-05-17","70","29.89","29.84","72","5.82","   80","0.0",,"  140",,,
"USW00013880","2024-05-18","69","29.90","29.85","71","6.26","   85","0.0",,"  210",,,
"USW00013880","2024-05-19","67","29.89","29.84","69","7.38","   80","0.0",,"   20",,,
"USW00013880","2024-05-20","61","29.96","29.91","65","9.17","   71","0.0",,"   50",,,
"USW00013880","2024-05-21","62","30.00","29.95","66","6.93","   68","0.0",,"   60",,,
"USW00013880","2024-05-22","62","30.03","29.98","66","5.59","   66","0.0",,"  130",,,
"USW00013880","2024-05-23","67","30.00","29.95","71","6.71","   69","0.0",,"  180",,,
"USW00013880","2024-05-24","68","29.91","29.86","72","7.83","   71","0.0",,"  210",,,
"USW00013880","2024-05-25","69","29.88","29.83","73","6.26","   71","0.0",,"  240",,,
"USW00013880","2024-05-26","70","29.90","29.85","73","6.49","   73","0.0",,"  170",,,
"USW00013880","2024-05-27","72","29.90","29.85","75","10.29","   71","0.0",,"  220",,,
"USW00013880","2024-05-28","67","29.92","29.87","73","8.28","   61","0.0",,"  200",,,
"USW00013880","2024-05-29","57","29.97","29.92","66","6.04","   46","0.0",,"  280",,,
"USW00013880","2024-05-30","53","30.04","29.99","63","6.93","   47","0.0",,"   20",,,
"USW00013880","2024-05-31","51","30.17","30.12","61","7.83","   47","0.0",,"   30",,,
"USW00013880","2024-06-01","55","30.20","30.16","62","8.05","   55","0.0",,"  140",,,
"USW00013880","2024-06-02","62","30.11","30.07","67","8.28","   62","0.0",,"  150",,,
"USW00013880","2024-06-03","63","30.00","29.96","69","5.59","   63","0.0",,"  160",,,
"USW00013880","2024-06-04","65","29.97","29.91","70","6.71","   64","0.0",,"  130",,,
"USW00013880","2024-06-05","67","29.92","29.88","72","8.50","   65","0.0",,"  170",,,
"USW00013880","2024-06-06","73","29.80","29.75","76","10.29","   73","0.0",,"  210",,,
"USW00013880","2024-06-07","69","29.78","29.72","74","8.50","   64","0.0",,"  220",,,
"USW00013880","2024-06-08","64","29.89","29.83","70","7.61","   59","0.0",,"   40",,,
"USW00013880","2024-06-09","68","29.81","29.77","73","8.28","   61","0.0",,"  200",,,
"USW00013880","2024-06-10","67","29.79","29.74","71","4.70","   71","0.0",,"  330",,,
"USW00013880","2024-06-11","66","29.86","29.80","71","6.26","   67","0.0",,"  130",,,
"USW00013880","2024-06-12","67","29.96","29.91","71","8.50","   68","0.0",,"  100",,,
"USW00013880","2024-06-13","68","29.94","29.90","72","10.07","   68","0.0",,"   60",,,
"USW00013880","2024-06-14","65","29.92","29.86","71","6.93","   62","0.0",,"  150",,,
"USW00013880","2024-06-15","67","29.97","29.91","72","6.04","   58","0.0",,"  180",,,
"USW00013880","2024-06-16","72","30.10","30.03","75","7.38","   68","0.0",,"  100",,,
"USW00013880","2024-06-17","68","30.15","30.09","72","8.95","   65","0.0",,"  110",,,
"USW00013880","2024-06-18","65","30.16","30.11","70","10.07","   64","0.0",,"   90",,,
"USW00013880","2024-06-19","66","30.22","30.16","71","10.51","   66","0.0",,"  100",,,
"USW00013880","2024-06-20","66","30.23","30.19","71","10.51","   66","0.0",,"  100",,,
"USW00013880","2024-06-21","72","30.15","30.11","75","8.28","   79","0.0",,"  110",,,
"USW00013880","2024-06-22","75","30.07","30.02","77","10.51","   76","0.0",,"  120",,,
"USW00013880","2024-06-23","76","29.92","29.89","78","8.50","   82","0.0",,"  200",,,
"USW00013880","2024-06-24","75","29.85","29.80","78","11.41","   69","0.0",,"  180",,,
"USW00013880","2024-06-25","76","29.91","29.85","79","7.83","   76","0.0",,"  170",,,
"USW00013880","2024-06-26","77","29.87","29.84","79","9.62","   76","0.0",,"  180",,,
"USW00013880","2024-06-27","74","29.83","29.78","76","7.61","   76","0.0",,"  250",,,
"USW00013880","2024-06-28","73","29.97","29.92","76","5.59","   74","0.0",,"  160",,,
"USW00013880","2024-06-29","75","30.10","30.04","78","5.37","   75","0.0",,"  130",,,
"USW00013880","2024-06-30","75","30.04","30.00","78","7.61","   72","0.0",,"  180",,,
"USW00013880","2024-07-01","75","29.98","29.91","77","6.71","   77","0.0",,"  210",,,
"USW00013880","2024-07-02","70","30.12","30.05","73","9.17","   75","0.0",,"   90",,,
"USW00013880","2024-07-03","72","30.11","30.06","75","8.28","   70","0.0",,"  120",,,
"USW00013880","2024-07-04","72","30.01","29.98","75","5.14","   72","0.0",,"  170",,,
"USW00013880","2024-07-05","74","29.92","29.87","78","7.61","   71","0.0",,"  200",,,
"USW00013880","2024-07-06","75","29.95","29.90","78","8.05","   73","0.0",,"  180",,,
"USW00013880","2024-07-07","72","30.00","29.96","76","7.16","   67","0.0",,"  170",,,
"USW00013880","2024-07-08","75","30.02","29.98","78","4.47","   76","0.0",,"  200",,,
"USW00013880","2024-07-09","75","29.97","29.92","77","4.03","   81","0.0",,"   60",,,
"USW00013880","2024-07-10","76","29.89","29.85","79","6.93","   76","0.0",,"  180",,,
"USW00013880","2024-07-11","72","29.91","29.86","76","5.82","   67","0.0",,"   50",,,
"USW00013880","2024-07-12","75","30.02","29.96","78","6.26","   79","0.0",,"  110",,,
"USW00013880","2024-07-13","76","30.14","30.08","78","2.24","   83","0.0",,"  310",,,
"USW00013880","2024-07-14","76","30.07","30.04","78","5.37","   77","0.0",,"   40",,"    1",
"USW00013880","2024-07-15","76","30.01","29.98","78","5.82","   74","0.0",,"  210",,,
"USW00013880","2024-07-16","74","30.01","29.96","77","8.50","   72","0.0",,"  190",,,
"USW00013880","2024-07-17","75","30.00","29.95","78","9.62","   71","0.0",,"  210",,,
"USW00013880","2024-07-18","73","30.01","29.95","76","9.84","   69","0.0",,"  220",,,
"USW00013880","2024-07-19","74","30.06","30.01","76","5.59","   81","0.0",,"  150",,,
"USW00013880","2024-07-20","73","30.10","30.04","75","4.92","   81","0.0",,"  270",,,
"USW00013880","2024-07-21","73","30.07","30.02","76","5.59","   74","0.0",,"  160",,,
"USW00013880","2024-07-22","76","30.04","29.99","78","6.71","   78","0.0",,"  160",,,
"USW00013880","2024-07-23","75","30.10","30.04","78","8.05","   70","0.0",,"  180",,,
"USW00013880","2024-07-24","76","30.18","30.12","79","8.05","   75","0.0",,"  180",,,
"USW00013880","2024-07-25","75","30.15","30.11","77","6.04","   83","0.0",,"  240",,,
"USW00013880","2024-07-26","75","30.03","29.99","76","4.47","   83","0.0",,"  320",,,
"USW00013880","2024-07-27","72","30.04","29.98","75","7.61","   78","0.0",,"  100",,,
"USW00013880","2024-07-28","67","30.12","30.07","71","4.70","   67","0.0",,"  150",,,
"USW00013880","2024-07-29","67","30.08","30.03","71","4.47","   68","0.0",,"  260",,,
"USW00013880","2024-07-30","73","30.01","29.96","76","6.04","   72","0.0",,"  180",,,
"USW00013880","2024-07-31","73","30.02","29.97","76","7.16","   71","0.0",,"  230",,,
"USW00013880","2024-08-01","75","30.06","30.01","78","7.61","   73","0.0",,"  200",,,
"USW00013880","2024-08-02","76","30.01","29.96","78","8.05","   79","0.0",,"  240",,,
"USW00013880","2024-08-03","74","29.98","29.93","77","9.84","   75","0.0",,"  280",,,
"USW00013880","2024-08-04","75","30.03","29.98","77","5.14","   81","0.0",,"  130",,,
"USW00013880","2024-08-05","75","29.99","29.96","76","10.07","   86","0.0",,"   70",,,
"USW00013880","2024-08-06","75","29.71","29.65","77","13.42","   89","0.0",,"  110",,,
"USW00013880","2024-08-07","75","29.47","29.44","76","15.88","   91","0.0",,"  340",,,
"USW00013880","2024-08-08","73","29.60","29.52","75","12.08","   82","0.0",,"  290",,,
"USW00013880","2024-08-09","76","29.87","29.80","78","7.16","   81","0.0",,"  300",,,
"USW00013880","2024-08-10","77","29.98","29.92","79","6.71","   79","0.0",,"  180",,,
"USW00013880","2024-08-11","76","29.98","29.93","79","4.03","   78","0.0",,"  310",,,
"USW00013880","2024-08-12","76","29.97","29.92","78","4.92","   75","0.0",,"  220",,,
"USW00013880","2024-08-13","76","29.99","29.93","78","4.92","   83","0.0",,"  160",,,
"USW00013880","2024-08-14","70","30.03","29.98","73","7.16","   74","0.0",,"   50",,,
"USW00013880","2024-08-15","68","30.06","30.00","71","5.82","   71","0.0",,"  100",,,
"USW00013880","2024-08-16","67","30.06","30.00","71","3.80","   70","0.0",,"  150",,,
"USW00013880","2024-08-17","70","29.98","29.94","73","5.82","   71","0.0",,"  200",,,
"USW00013880","2024-08-18","74","29.86","29.83","77","10.74","   74","0.0",,"  180",,,
"USW00013880","2024-08-19","71","29.83","29.78","74","7.16","   73","0.0",,"  200",,,
"USW00013880","2024-08-20","72","29.90","29.83","75","4.70","   78","0.0",,"  100",,,
"USW00013880","2024-08-21","66","30.06","29.99","70","9.62","   69","0.0",,"  100",,,
"USW00013880","2024-08-22","61","30.14","30.09","66","10.07","   63","0.0",,"   90",,,
"USW00013880","2024-08-23","61","30.19","30.14","66","11.63","   65","0.0",,"   50",,,
"USW00013880","2024-08-24","67","30.16","30.11","70","11.63","   74","0.0",,"   40",,,
"USW00013880","2024-08-25","72","30.14","30.09","74","8.95","   82","0.0",,"   40",,,
"USW00013880","2024-08-26","74","30.15","30.10","75","6.26","   84","0.0",,"   50",,,
"USW00013880","2024-08-27","74","30.10","30.06","76","4.92","   82","0.0",,"  110","    1",,
"USW00013880","2024-08-28","74","30.11","30.05","76","4.70","   78","0.0",,"  180","    1",,
"USW00013880","2024-08-29","74","30.13","30.08","77","5.14","   78","0.0",,"  190",,,
"USW00013880","2024-08-30","73","30.12","30.07","76","4.03","   77","0.0",,"  180",,,
"USW00013880","2024-08-31","73","30.05","30.01","76","4.70","   76","0.0",,"  140",,,
"USW00013880","2024-09-01","73","29.99","29.94","75","5.59","   76","0.0",,"  170",,,
"USW00013880","2024-09-02","74","29.95","29.90","76","5.14","   86","0.0",,"   10",,,
"USW00013880","2024-09-03","63","30.10","30.05","68","12.30","   65","0.0",,"   40",,,
"USW00013880","2024-09-04","65","30.19","30.13","69","11.86","   72","0.0",,"   60",,,
"USW00013880","2024-09-05","68","30.13","30.09","71","10.74","   76","0.0",,"   30",,,
"USW00013880","2024-09-06","69","29.99","29.94","71","9.17","   84","0.0",,"   40",,,
"USW00013880","2024-09-07","68","29.86","29.81","70","6.93","   82","0.0",,"  350",,,
"USW00013880","2024-09-08","66","30.02","29.98","67","7.38","   93","0.0",,"   20",,,
"USW00013880","2024-09-09","64","30.09","30.04","67","8.28","   75","0.0",,"   30",,,
"USW00013880","2024-09-10","62","30.08","30.03","66","7.83","   71","0.0",,"   70",,,
"USW00013880","2024-09-11","67","30.05","30.01","69","9.17","   78","0.0",,"   60",,,
"USW00013880","2024-09-12","69","30.01","29.96","71","9.62","   81","0.0",,"   50",,,
"USW00013880","2024-09-13","71","29.96","29.91","72","9.40","   83","0.0",,"   40",,,
"USW00013880","2024-09-14","70","29.95","29.90","72","11.86","   83","0.0",,"   40",,,
"USW00013880","2024-09-15","69","29.97","29.92","70","13.42","   85","0.0",,"   70",,,
"USW00013880","2024-09-16","65","29.92","29.87","67","14.09","   82","0.0",,"  350",,,
"USW00013880","2024-09-17","64","29.92","29.87","67","5.14","   77","0.0",,"  190",,,
"USW00013880","2024-09-18","69","29.91","29.86","71","3.80","   82","0.0",,"  150",,,
"USW00013880","2024-09-19","70","29.86","29.81","72","2.91","   84","0.0",,"   40",,,
"USW00013880","2024-09-20","69","29.88","29.82","71","4.92","   81","0.0",,"   30",,,
"USW00013880","2024-09-21","66","29.96","29.90","70","5.82","   75","0.0",,"  120",,,
"USW00013880","2024-09-22","68","29.92","29.88","71","4.70","   77","0.0",,"  180",,,
"USW00013880","2024-09-23","72","29.94","29.88","74","4.92","   80","0.0",,"  160",,,
"USW00013880","2024-09-24","72","29.96","29.91","75","6.49","   79","0.0",,"  170",,,
"USW00013880","2024-09-25","72","29.95","29.91","75","9.62","   76","0.0",,"  150",,,
"USW00013880","2024-09-26","74","29.82","29.80","76","13.20","   88","0.0",,"  110",,,
"USW00013880","2024-09-27","72","29.63","29.56","75","20.36","   76","0.0",,"  140",,,
"USW00013880","2024-09-28","69","29.85","29.80","72","7.61","   78","0.0",,"  200",,,
"USW00013880","2024-09-29","70","29.87","29.82","72","7.16","   77","0.0",,"  190",,,
"USW00013880","2024-09-30","72","29.89","29.85","75","7.61","   78","0.0",,"  190",,,
"USW00013880","2024-10-01",,,,,"4.03",,"0.0",,"  300","    1",,
"USW00013880","2024-10-02",,,,,"5.59",,"0.0",,"   60",,,
"USW00013880","2024-10-03",,,,,"6.93",,"0.0",,"   90",,,
"USW00013880","2024-10-04",,,,,"6.26",,"0.0",,"   90",,,
"USW00013880","2024-10-05",,,,,"7.16",,"0.0",,"   50",,,
"USW00013880","2024-10-06",,,,,"6.71",,"0.0",,"   40",,,
"USW00013880","2024-10-07",,,,,"2.68",,"0.0",,"  160",,,
"USW00013880","2024-10-08",,,,,"8.05",,"0.0",,"   40",,,
"USW00013880","2024-10-09",,,,,"9.40",,"0.0",,"   30",,,
"USW00013880","2024-10-10",,,,,"14.54",,"0.0",,"   30",,,
"USW00013880","2024-10-11",,,,,"6.49",,"0.0",,"   10",,,
"USW00013880","2024-10-12",,,,,"2.91",,"0.0",,"  180",,,
"USW00013880","2024-10-13",,,,,"5.82",,"0.0",,"  220",,,
"USW00013880","2024-10-14",,,,,"10.96",,"0.0",,"  280",,,
"USW00013880","2024-10-15",,,,,"5.14",,"0.0",,"   20",,,
"USW00013880","2024-10-16",,,,,"11.63",,"0.0",,"  340",,,
"USW00013880","2024-10-17",,,,,"7.61",,"0.0",,"  360",,,
"USW00013880","2024-10-18",,,,,"7.61",,"0.0",,"   30",,,
"USW00013880","2024-10-19",,,,,"7.61",,"0.0",,"   30",,,
"USW00013880","2024-10-20",,,,,"7.83",,"0.0",,"   40",,,
"USW00013880","2024-10-21",,,,,"7.61",,"0.0",,"   30",,,
"USW00013880","2024-10-22",,,,,"7.83",,"0.0",,"   50",,,
"USW00013880","2024-10-23",,,,,"5.82",,"0.0",,"  340",,,
"USW00013880","2024-10-24",,,,,"3.36",,"0.0",,"  330",,,
"USW00013880","2024-10-25",,,,,"4.25",,"0.0",,"  150",,,
"USW00013880","2024-10-26",,,,,"4.03",,"0.0",,"  270",,,
"USW00013880","2024-10-27",,,,,"7.83",,"0.0",,"   20",,,
"USW00013880","2024-10-28",,,,,"8.28",,"0.0",,"   30",,,
"USW00013880","2024-10-29",,,,,"7.16",,"0.0",,"  110",,,
"USW00013880","2024-10-30",,,,,"5.82",,"0.0",,"  100",,,
"USW00013880","2024-10-31",,,,,"5.37",,"0.0",,"  140",,,
"USW00013880","2024-11-01",,,,,"2.91",,"0.0",,"  140",,,
"USW00013880","2024-11-02",,,,,"5.37",,"0.0",,"   50",,,
"USW00013880","2024-11-03",,,,,"9.17",,"0.0",,"   50",,,
"USW00013880","2024-11-04",,,,,"10.07",,"0.0",,"   70",,,
"USW00013880","2024-11-05",,,,,"8.72",,"0.0",,"  120",,,
"USW00013880","2024-11-06",,,,,"6.26",,"0.0",,"  140",,,
"USW00013880","2024-11-07",,,,,"4.70",,"0.0",,"  130",,,
"USW00013880","2024-11-08",,,,,"2.01",,"0.0",,"  310","    1",,
"USW00013880","2024-11-09",,,,,"7.38",,"0.0",,"   60",,,
"USW00013880","2024-11-10",,,,,"7.38",,"0.0",,"  130",,,
